,date,avg_change,cumulative_index_return,average_return
0,2024-10-23,0.9938597095169267,0.9938597095169267,0.9984209737668596
1,2024-10-24,0.999687712187548,0.9935493392423576,0.9984209737668596
2,2024-10-25,0.9972905303200202,0.9908573474321164,0.9984209737668596
3,2024-10-29,1.000212130918118,0.9910675389109511,0.9984209737668596
4,2024-10-30,0.9944042145861051,0.9855217376325285,0.9984209737668596
5,2024-10-31,0.9893930827444826,0.9750683901079465,0.9984209737668596
6,2024-11-01,1.0035357224469124,0.9785159613021259,0.9984209737668596
7,2024-11-05,1.0091190525203038,0.9874390997451955,0.9984209737668596
8,2024-11-06,1.0186831143604842,1.0058875373697485,0.9984209737668596
9,2024-11-07,1.0053715347772734,1.011290697258756,0.9984209737668596
10,2024-11-08,1.001905738780611,1.013217953158993,0.9984209737668596
11,2024-11-12,0.9931326914105719,1.0062598728063017,0.9984209737668596
12,2024-11-13,0.999946465803204,1.0062060034922429,0.9984209737668596
13,2024-11-14,0.9954292667113784,1.00160690421687,0.9984209737668596
14,2024-11-15,0.9913405497020708,0.9929335390117413,0.9984209737668596
15,2024-11-19,0.9998396702088691,0.9927743421848246,0.9984209737668596
16,2024-11-20,1.000425729324694,0.9931969953350966,0.9984209737668596
17,2024-11-21,1.0076910403445614,1.000835713496316,0.9984209737668596
18,2024-11-22,1.0047787425720462,1.0056184497280252,0.9984209737668596
19,2024-11-26,1.001872173985749,1.007501142429195,0.9984209737668596
20,2024-11-27,0.9978773056906375,1.0053625254874845,0.9984209737668596
21,2024-12-03,1.0009643700316142,1.0063320669779725,0.9984209737668596
22,2024-12-04,1.0031088778231174,1.0094606304236924,0.9984209737668596
23,2024-12-05,0.9980059457504222,1.0074477111638145,0.9984209737668596
24,2024-12-06,1.0034824347726294,1.0109560821047774,0.9984209737668596
25,2024-12-10,0.9966478127911821,1.007567168057669,0.9984209737668596
26,2024-12-11,1.0052482897391695,1.01285517248731,0.9984209737668596
27,2024-12-12,0.9945506459807387,1.007335766082187,0.9984209737668596
28,2024-12-13,1.0003848657066898,1.007723455073674,0.9984209737668596
29,2024-12-17,0.9968871378212071,1.0045865508436926,0.9984209737668596
30,2024-12-18,0.9727593843622635,0.9772209947373202,0.9984209737668596
31,2024-12-19,0.9976310225605319,0.9749059802474129,0.9984209737668596
32,2024-12-20,1.0082303074924752,0.982929756241102,0.9984209737668596
